Día,Frecuencia,Tweet,Tipus tweet,Tipus user
2014-09-19T00:00:00Z,175.0,RT @assemblea: Molta gent davant del #Parlament per donar suport a l'aprovació de la Llei de Consultes! El #9N2014 votarem! http://t.co/l0n‚Ä¶,campaña,entidades civiles
2014-09-19T00:00:00Z,101.0,RT @assemblea: Votar un país nou és guanyar un futur millor! El #9N2014 votarem i guanyarem! Units per un país nou! #Araéslhora http://t.co‚Ä¶,campaña,entidades civiles
2014-09-19T00:00:00Z,179.0,RT @CataloniaYes: Catalonia will vote and will win this November 9th. Thanks for your support Scotland!  #CatalansVote9N,noticias,entidades civiles
2014-09-20T00:00:00Z,223.0,RT @martarovira: Tothom tranquil!  Desobeirem quan calgui! #votarem #9N,campaña,politics
2014-09-20T00:00:00Z,159.0,"RT @miriamnoguerasM: Els que viviu fora de Catalunya, apunteu-vos al cens per votar el 9N! RT RT RT! http://t.co/b1a3upgcne",organización,politics
2014-09-20T00:00:00Z,139.0,RT @25novembre2012: Aquí teniu la cara dels fills de franquistes que no volen que VOTEM el #9N (16)  @assemblea @Araeslhora @sumate_asoc ht…,campaña,ciudadana/o
2014-09-20T00:00:00Z,132.0,RT @25novembre2012: Aquí teniu la cara dels fills de franquistes que no volen que VOTEM el #9N (15)  @assemblea @Araeslhora @sumate_asoc ht…,campaña,ciudadana/o
2014-09-20T00:00:00Z,118.0,RT @25novembre2012: Aquí teniu la cara dels fills de franquistes que no volen que VOTEM el #9N (9)  @assemblea @Araeslhora @sumate_asoc htt…,campaña,ciudadana/o
2014-09-21T00:00:00Z,444.0,RT @CataloniaYes: RT if you think that the people of Catalonia have the right to decide their future in a referendum on independence.  #9N2…,campaña,entidades civiles
2014-09-21T00:00:00Z,289.0,RT @assemblea: Moltes felicitats @NuriaPicas per la nova victòria i gràcies per tot el que fas! El #9N2014 votarem i guanyarem! http://t.co…,campaña,entidades civiles
2014-09-21T00:00:00Z,212.0,"RT @MainatJM: Funció exponencial. Passeu aquest vídeo a 6 persones i que cadascuna el passi a 6 més. ""El 9N votarem, i guanyarem"" http://t.…",campaña,celebrity
2014-09-21T00:00:00Z,173.0,RT @RealMiracle66: Gallardón fins al coll en el cas Nóos! Amagava fotos com aquestes al jutge Castro! #9N2014  http://t.co/l4y2tp2TCO http:…,noticias,ciudadana/o
2014-09-21T00:00:00Z,148.0,"RT @Laksmiz: España ""debe permitir un referéndum catalán"", según un columnista del @FinancialTimes http://t.co/LvDNEfNoPN #9N2014 http://t.‚Ä¶",noticias,ciudadana/o
2014-09-22T00:00:00Z,202.0,RT @ANC_Economistes: Enquesta #CEO  32% indep. NO 60% indep. SÍ (65% excloent indecisos) 74% volen votar 88% acceptaran resultat #9N2014  O…,noticias,entidades civiles
