Día,Frecuencia,Tweet,Tipus tweet,user,Lang,Tipus user
25/09/14,122,"RT @jcanadellb: Recomano d'aqui al #9N no consumiu @LaVanguardia @8aldia @elmonarac1, etc. El pessimisme mai es bo x afrontar un repte difi…",campaña,jcanadellb,cat,entidades civiles
26/09/14,282,"RT @sumate_asoc: Más de 860 municipios, 91% del total, ya da apoyo al #9N para que los ciudadanos podamos votar. ¿Cómo lo van a parar? http…",noticias,sumate_asoc,cat,entidades civiles
26/09/14,279,"RT @Araeslhora: ALERTA: Un 91% dels municipis catalans (867) ja ha donat suport a la consulta. El 9N votarem, el 9N guanyarem! http://t.co/…",campaña,Araeslhora,cat,entidades civiles
26/09/14,204,RT @AlbiolAlcalde_: Todos concejales del @PSOE de Badalona (3 a ciudad de Cataluña) celebrando hoy su apoyo al 9N con banderas esteladas. h…,noticias,AlbiolAlcalde_,cat,políticas/os
26/09/14,181,RT @assemblea: Demà a les 10h00 us esperem a tots a plaça Sant Jaume per donar suport a la convocatòria del #9N2014. Votarem i guanyarem!,campaña,assemblea,cat,entidades civiles
26/09/14,117,"RT @Araeslhora: A 24h de la convocatòria, estàs preparat per guanyar el 9N? És el moment, fes-te voluntari: http://t.co/hwwcPNHiOd http://t…",organización,Araeslhora,cat,entidades civiles
27/09/14,885,"RT @assemblea: Ja estem convocats, el #9N2014 votarem! #EstemConvocats9N http://t.co/dc1n26NL1Q",campaña,assemblea,cat,entidades civiles
27/09/14,789,"RT @XSalaimartin: Llevar-se a Nova York, obrir el New York Times i llegir que #EstemConvocats9N. Gràcies President Mas. #AraEslHora. http:/…",campaña,XSalaimartin,cat,celebrity
27/09/14,487,RT @PLin4U: ___ ____ 00___ _3_ ___  _ ___ _ 9N___ ____  9N___ ___ _____  ___ ____ 9N___ __ __ _____,noticias,govern,cat,políticas/os
27/09/14,455,"RT @govern: Fotografia del decret de convocatòria de la consulta #9N2014, signat pel #presidentMas al #Palau de la Generalitat http://t.co/…",campaña,HiginiaRoig,cat,políticas/os
27/09/14,451,RT @HiginiaRoig: People have the power. #9N,campaña,isonapassola,cat,entidades civiles
28/09/14,7746,RT @VideoFiltrado: VIDEO DE UN FAMOSO POLITICO SE FILTRA! http://t.co/lc07dl7kew ¡VIDEO COMPLETO Y PARA FLIPAR! #ESTEMCONVOCATS9N http://t.…,spam,VideoFiltrado,cat,sin datos
28/09/14,1302,RT @VideoFiltrado: VIDEO DE UN FAMOSO POLITICO SE FILTRA! http://t.co/xZIdpaK5Vj ¡VIDEO COMPLETO Y PARA FLIPAR! #ESTEMCONVOCATS9N http://t.…,spam,VideoFiltrado,cat,sin datos
28/09/14,1000,RT @PLin4U: ___ ____ 00___ _3_ ___  _ ___ _ 9N___ ____  9N___ ___ _____  ___ ____ 9N___ __ __ _____,campaña,luisma_lopez,cat,ciudadana/o
28/09/14,621,"RT @luisma_lopez: Desde Madrid, enhorabuena a los catalanes. Voten sí o voten no, una urna nunca es ilegal. #EstemConvocats9N",noticias,ramontremosa,cat,políticas/os
28/09/14,325,"RT @ramontremosa: Map: 874 from 940 city councils of Catalonia, including Barcelona, supports Catalan referendum #9N (86% population) http:…",noticias,XavierAntich,cat,media
29/09/14,14074,RT @VideoFiltrado: VIDEO DE UN FAMOSO POLITICO SE FILTRA! http://t.co/lc07dl7kew ¡VIDEO COMPLETO Y PARA FLIPAR! #ESTEMCONVOCATS9N http://t.…,spam,VideoFiltrado,cat,sin datos
